кластер;фраз;сажать;статья;дыра;минус;ср_эффективность;сумма_ws;посадочная;действие
размер 4х4;2;2;0;0;0;100;17255;https://real-besedki.ru/katalog/razmer/4x4;хаб размера
размер 6х3;2;2;0;0;0;100;3856;https://real-besedki.ru/katalog/razmer/6x3;хаб размера
размер 5х4;1;1;0;0;0;100;1984;https://real-besedki.ru/katalog/razmer/5x4;хаб размера
остекление;54;54;0;0;0;99;65890;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления
размер 3х3;5;5;0;0;0;99;22416;https://real-besedki.ru/katalog/razmer/3x3;хаб размера
под ключ;42;42;0;0;0;98;33312;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео
голова металл;186;186;0;0;0;95;387924;https://real-besedki.ru/katalog;сажать на каталог/главную
мангалы;719;719;0;0;0;93;11526275;https://real-besedki.ru/katalog/mangaly;каталог мангалов, не клон «беседка с мангалом»
гео ядро;22;22;0;0;0;90;63096;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео
размер 2х2;1;1;0;0;0;87;5910;https://real-besedki.ru/katalog/razmer/2x2;хаб размера
размер 6х6;1;1;0;0;0;87;9445;https://real-besedki.ru/katalog/razmer/6x6;хаб размера
качели;56;56;0;0;0;86;1856172;https://real-besedki.ru/katalog/kacheli;каталог качелей
размер 5х5;2;2;0;0;0;85;7869;https://real-besedki.ru/katalog/razmer/5x5;хаб размера
навесы;364;364;0;0;0;84;4615389;https://real-besedki.ru/katalog/navesy;каталог навесов
открытые;7;7;0;0;0;83;10456;https://real-besedki.ru/katalog/otkrytye-besedki;каталог открытых
размер 6х4;2;2;0;0;0;82;1702;https://real-besedki.ru/katalog/razmer/6x4;хаб размера
мягкие окна;373;0;373;0;0;57;976003;https://real-besedki.ru/blog/osteklenie-ili-myagkie-okna-dlya-besedki;сравнение, не продаём мягкие окна
масс рынок;1008;0;0;0;0;18;6279237;https://real-besedki.ru/katalog;не бить ценой дерево 130–220к
дыры лидера;5;0;0;5;0;8;20151;—;не создавать URL без SKU
минус;283;0;0;0;283;0;2712209;—;минус-слова, не сажать
чужой металл;1345;0;0;0;1345;0;31542492;—;ворота/грядки/перила с чужих доменов, не сажать
шум морфологии;5;0;0;0;5;0;9195911;—;не сажать, это словоформа
