кластер;фраз;сажать;статья;дыра;минус;ср_эффективность;сумма_ws;посадочная;действие
остекление;63;63;0;0;0;98;63608;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления
под ключ;44;44;0;0;0;98;33832;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео
голова металл;1409;1409;0;0;0;95;18412309;https://real-besedki.ru/katalog;сажать на каталог/главную
мангалы;432;432;0;0;0;91;1925623;https://real-besedki.ru/katalog/mangaly;каталог мангалов, не клон «беседка с мангалом»
гео ядро;30;30;0;0;0;89;61240;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео
навесы;237;237;0;0;0;82;2034003;https://real-besedki.ru/katalog/navesy;каталог навесов
открытые;6;6;0;0;0;82;2279;https://real-besedki.ru/katalog/otkrytye-besedki;каталог открытых
размер 6х4;1;1;0;0;0;77;4;https://real-besedki.ru/katalog/razmer/6x4;хаб размера
мягкие окна;285;0;285;0;0;57;651127;https://real-besedki.ru/blog/osteklenie-ili-myagkie-okna-dlya-besedki;сравнение, не продаём мягкие окна
дыры лидера;1;0;0;1;0;8;9;—;не создавать URL без SKU
минус;110;0;0;0;110;0;423141;—;минус-слова, не сажать
