эффективность;вердикт;кластер;интент;запрос;частота_ws;частота_wsk;посадочная;действие;приоритет;источник;сид;заметка
100;сажать;голова металл;коммерческий;беседка металл;30889;72;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседка из металла;28488;1940;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседки из металла;28488;533;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседка закрытая;21559;995;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;закрытая беседка;
100;сажать;голова металл;коммерческий;беседки закрытые;21559;279;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;остекленная беседка;
100;сажать;голова металл;коммерческий;беседка металлическая;21543;1230;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседки металлические;21543;349;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;размер 3х3;коммерческий;беседка 3 на 3;21127;2149;https://real-besedki.ru/katalog/razmer/3x3;хаб размера;P0;import;nva-house.ru;
100;сажать;остекление;коммерческий;закрытая беседка;21043;979;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;import;остекленная беседка;
100;сажать;остекление;коммерческий;закрытые беседки;21043;281;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;import;остекленная беседка;
100;сажать;голова металл;коммерческий;металлическая беседка;19250;1089;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;металлические беседки;19250;335;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;размер 4х4;коммерческий;беседка 4 на 4;15916;1756;https://real-besedki.ru/katalog/razmer/4x4;хаб размера;P0;import;greenbesedka.ru;
100;сажать;под ключ;коммерческий;беседка под ключ;9158;766;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;import;беседка под ключ;
100;сажать;под ключ;коммерческий;беседки под ключ;9158;410;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;import;беседка под ключ;
100;сажать;голова металл;коммерческий;беседка лофт;7680;858;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка лофт;
100;сажать;голова металл;коммерческий;беседки лофт;7680;221;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка лофт;
100;сажать;голова металл;коммерческий;лофт беседка;7466;756;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка лофт;
100;сажать;голова металл;коммерческий;лофт беседки;7466;192;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка лофт;
100;сажать;голова металл;коммерческий;металл для беседки;5220;27;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка металлическая;
100;сажать;голова металл;коммерческий;беседка из металла фото;3901;319;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседка фото из металла;3901;319;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседки из металла фото;3901;367;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседки фото из металла;3901;367;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседка с металла;3861;26;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседка для дачи металлическая;3813;916;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседка металлическая для дачи;3813;916;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседки металлические для дачи;3813;187;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседка и металла;3806;2;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;besedka-metallicheskaya.ru;
100;сажать;голова металл;коммерческий;фото беседки из металла;3561;339;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
100;сажать;голова металл;коммерческий;беседка стиль лофт;3539;30;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка лофт;
100;сажать;голова металл;коммерческий;беседка в стиле лофт;3419;873;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка лофт;
100;сажать;голова металл;коммерческий;беседки в стиле лофт;3419;223;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка лофт;
100;сажать;голова металл;коммерческий;беседка металлическая купить;3301;172;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;import;беседка из металла;
