эффективность;вердикт;кластер;интент;запрос;частота_ws;частота_wsk;посадочная;действие;приоритет;источник;сид;заметка
100;сажать;голова металл;коммерческий;беседка металл;30889;72;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка из металла;28488;1940;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседки из металла;28488;533;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка закрытая;21559;995;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;остекленная беседка;
100;сажать;голова металл;коммерческий;беседки закрытые;21559;279;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;остекленная беседка;
100;сажать;голова металл;коммерческий;беседка металлическая;21543;1230;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседки металлические;21543;349;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;размер 3х3;коммерческий;беседка 3 на 3;21127;2149;https://real-besedki.ru/katalog/razmer/3x3;хаб размера;P0;keyso-extended;беседка 3 на 3;
100;сажать;остекление;коммерческий;закрытая беседка;21043;979;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;остекление;коммерческий;закрытые беседки;21043;281;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;голова металл;коммерческий;металлическая беседка;19250;1089;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;металлические беседки;19250;335;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;размер 4х4;коммерческий;беседка 4 на 4;15916;1756;https://real-besedki.ru/katalog/razmer/4x4;хаб размера;P0;keyso-extended;беседка 4 на 4;
100;сажать;под ключ;коммерческий;беседка под ключ;9158;766;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;под ключ;коммерческий;беседки под ключ;9158;410;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;голова металл;коммерческий;беседка лофт;7680;858;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка лофт;
100;сажать;голова металл;коммерческий;беседки лофт;7680;221;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка лофт;
100;сажать;голова металл;коммерческий;лофт беседка;7466;756;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка лофт;
100;сажать;голова металл;коммерческий;лофт беседки;7466;192;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка лофт;
100;сажать;голова металл;коммерческий;металл для беседки;5220;27;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка металлическая;
100;сажать;голова металл;коммерческий;беседка из металла фото;3901;319;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка фото из металла;3901;319;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседки из металла фото;3901;367;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседки фото из металла;3901;367;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка с металла;3861;26;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка для дачи металлическая;3813;916;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка металлическая для дачи;3813;916;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседки металлические для дачи;3813;187;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;фото беседки из металла;3561;339;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка стиль лофт;3539;30;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка лофт;
100;сажать;голова металл;коммерческий;беседка в стиле лофт;3419;873;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка лофт;
100;сажать;голова металл;коммерческий;беседки в стиле лофт;3419;223;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка лофт;
100;сажать;голова металл;коммерческий;беседка металлическая купить;3301;172;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;металлическая беседка для дачи;3233;786;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;металлические беседки для дачи;3233;187;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;размер 6х3;коммерческий;беседка 6 на 3;3148;399;https://real-besedki.ru/katalog/razmer/6x3;хаб размера;P0;keyso-extended;беседка 6 на 3;
100;сажать;голова металл;коммерческий;купить беседку металлическую;2870;57;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;купить металлическую беседку;2870;57;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;металлическая беседка купить;2641;118;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;остекление;коммерческий;остекление беседки;2639;178;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;голова металл;коммерческий;беседка из металлопрофиля;2587;474;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседки из металлопрофиля;2587;59;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;каркас беседки металлический;2354;85;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;металлическая беседка;
100;сажать;голова металл;коммерческий;металлический каркас беседки;2300;67;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка для дачи из металла;2191;254;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка из металла для дачи;2191;254;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседки для дачи из металла;2191;58;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседки из металла для дачи;2191;58;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;под ключ;коммерческий;беседка под ключ цена;1799;77;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;под ключ;коммерческий;беседка цена под ключ;1799;77;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;под ключ;коммерческий;беседки под ключ цена;1799;6;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;голова металл;коммерческий;купить беседку из металла;1612;28;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;размер 4х4;коммерческий;проект беседки 4 на 4;1339;203;https://real-besedki.ru/katalog/razmer/4x4;хаб размера;P0;keyso-extended;беседка 4 на 4;
100;сажать;остекление;коммерческий;закрытая беседка фото;1247;85;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;голова металл;коммерческий;беседка закрытая фото;1238;88;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;остекленная беседка;
100;сажать;под ключ;коммерческий;беседка для дачи под ключ;1233;190;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;под ключ;коммерческий;беседки для дачи под ключ;1233;45;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;голова металл;коммерческий;беседка металлическая фото;1186;135;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседки металлические фото;1186;121;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка металлокаркас;1145;22;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;металлическая беседка фото;1138;129;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;металлические беседки фото;1138;108;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;голова металл;коммерческий;беседка для дачи закрытая;1067;200;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;остекленная беседка;
100;сажать;голова металл;коммерческий;беседка закрытая для дачи;1067;200;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;остекленная беседка;
100;сажать;голова металл;коммерческий;беседки закрытые для дачи;1067;58;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;остекленная беседка;
100;сажать;остекление;коммерческий;закрытая беседка для дачи;1035;182;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;остекление;коммерческий;закрытые беседки для дачи;1035;51;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;голова металл;коммерческий;металлокаркас беседки;1004;12;https://real-besedki.ru/katalog;сажать на каталог/главную;P0;keyso-extended;беседка из металла;
100;сажать;размер 3х3;коммерческий;купить беседку 3 на 3;949;83;https://real-besedki.ru/katalog/razmer/3x3;хаб размера;P0;keyso-extended;беседка 3 на 3;
100;сажать;остекление;коммерческий;беседка с остеклением;934;51;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;размер 3х3;коммерческий;проект беседки 3 на 3;903;184;https://real-besedki.ru/katalog/razmer/3x3;хаб размера;P0;keyso-extended;беседка 3 на 3;
100;сажать;размер 3х3;коммерческий;беседки для дачи 3х3;870;9;https://real-besedki.ru/katalog/razmer/3x3;хаб размера;P0;keyso-extended;беседка 3 на 3;
100;сажать;остекление;коммерческий;купить закрытую беседку;802;31;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;остекление;коммерческий;закрытая беседка купить;787;38;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;под ключ;коммерческий;купить беседку под ключ;719;44;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;остекление;коммерческий;беседка остекленная;709;72;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;остекление;коммерческий;остекленная беседка;700;81;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;остекление;коммерческий;остекленные беседки;700;28;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;остекленная беседка;
100;сажать;размер 4х4;коммерческий;план беседки 4 на 4;680;25;https://real-besedki.ru/katalog/razmer/4x4;хаб размера;P0;keyso-extended;беседка 4 на 4;
100;сажать;под ключ;коммерческий;строительство беседки под ключ;606;31;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;под ключ;коммерческий;беседка строительство под ключ;549;9;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;под ключ;коммерческий;беседки строительство под ключ;549;31;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;под ключ;коммерческий;беседки под ключ недорого;503;19;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;размер 4х4;коммерческий;беседка 4 на 4 фото;502;52;https://real-besedki.ru/katalog/razmer/4x4;хаб размера;P0;keyso-extended;беседка 4 на 4;
100;сажать;под ключ;коммерческий;беседки под ключ проекты;489;16;https://real-besedki.ru/uslugi/besedki-pod-klyuch;услуга под ключ / гео;P0;keyso-extended;беседка под ключ;
100;сажать;остекление;коммерческий;раздвижное остекление беседки;433;10;https://real-besedki.ru/katalog/besedki-s-ostekleniem;каталог остекления;P0;keyso-extended;беседка с остеклением;
